,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,32,ZA,1552787290,98,-34.42,19.24,64.99,2.8
1,Castro,44,CL,1552784400,87,-42.48,-73.76,53.6,2.24
2,Trairi,36,BR,1552787858,100,-3.28,-39.27,81.36,7.16
3,Mastic Beach,1,US,1552787909,38,40.77,-72.85,41.0,14.99
4,Esperance,20,TT,1552787706,83,10.24,-61.45,77.0,5.82
5,Ilulissat,8,GL,1552783800,59,69.22,-51.1,-0.41,8.05
6,Longyearbyen,20,NO,1552787400,53,78.22,15.63,-2.21,10.29
7,Mataura,24,NZ,1552787406,73,-46.19,168.86,64.0,2.13
8,Kampot,40,KH,1552784400,94,10.62,104.18,80.6,1.12
9,Ushuaia,20,AR,1552784400,93,-54.81,-68.31,46.4,2.24
10,Albany,20,US,1552787905,55,42.65,-73.75,33.8,16.11
11,Mahebourg,75,MU,1552784400,83,-20.41,57.7,77.0,6.93
12,Ancud,64,CL,1552784400,87,-41.87,-73.83,53.6,2.24
13,Bocana de Paiwas,64,NI,1552787929,86,12.79,-85.12,71.78,8.95
14,Kem,0,UG,1552787930,72,2.68,33.77,63.09,2.91
15,Bluff,68,AU,1552787730,100,-23.58,149.07,74.03,5.7
16,High Level,20,CA,1552784400,30,58.52,-117.13,42.8,8.05
17,Fowa,12,NG,1552787933,80,8.92,6.4,75.15,1.57
18,Isangel,75,VU,1552784400,66,-19.55,169.27,87.8,13.87
19,Busselton,76,AU,1552787752,39,-33.64,115.35,75.99,19.69
20,Rikitea,80,PF,1552787937,100,-23.12,-134.97,77.76,24.72
21,Khanpur,0,PK,1552787938,66,28.65,70.66,65.21,3.91
22,Jamestown,0,AU,1552787940,85,-33.21,138.6,76.28,5.93
23,Avera,1,US,1552787829,75,33.19,-82.53,53.6,3.36
24,Cape Town,75,ZA,1552787889,100,-33.93,18.42,64.0,5.82
25,Kokopo,44,PG,1552787944,98,-4.34,152.27,82.94,7.61
26,Provideniya,0,RU,1552787945,100,64.42,-173.23,18.23,9.62
27,Jieshi,20,CN,1552787946,87,22.82,115.83,69.89,14.88
28,Lebu,0,ET,1552784400,51,8.96,38.73,60.8,9.17
29,Hithadhoo,76,MV,1552787868,100,-0.6,73.08,80.51,0.34
30,Lake City,1,US,1552787764,43,38.03,-107.32,33.8,1.01
31,Huarmey,56,PE,1552787952,82,-10.07,-78.15,68.67,3.13
32,Manacapuru,0,BR,1552784400,88,-3.3,-60.62,78.8,3.36
33,Chuy,92,UY,1552787954,95,-33.69,-53.46,71.73,16.44
34,Bandrele,0,YT,1552786200,94,-12.91,45.19,78.8,2.24
35,Mar del Plata,32,AR,1552787792,43,-46.43,-67.52,69.57,12.64
36,Nuevo Imperial,12,PE,1552787959,91,-13.08,-76.32,65.7,0.67
37,Luanda,75,AO,1552784400,83,-8.83,13.24,78.8,2.24
38,Yurgamysh,0,RU,1552787961,54,55.37,64.47,6.89,2.91
39,Namibe,8,AO,1552787963,100,-15.19,12.15,77.94,2.57
40,Hirara,75,JP,1552784400,60,24.8,125.28,69.8,10.29
41,Atuona,0,PF,1552787856,100,-9.8,-139.03,82.31,12.3
42,Upernavik,32,GL,1552787757,100,72.79,-56.15,-11.61,13.76
43,Qaanaaq,0,GL,1552787968,77,77.48,-69.36,-26.15,6.15
44,Rawson,48,AR,1552787969,95,-43.3,-65.11,63.09,13.76
45,Sitka,0,US,1552787205,31,37.17,-99.65,53.01,1.01
46,Butaritari,92,KI,1552787959,100,3.07,172.79,76.23,3.02
47,Bathsheba,20,BB,1552784400,74,13.22,-59.52,78.8,18.34
48,Hasaki,20,JP,1552787375,34,35.73,140.83,55.0,5.82
49,Port Elizabeth,1,US,1552787803,38,39.31,-74.98,44.6,17.22
50,Zolotukhino,92,RU,1552787119,90,52.08,36.38,32.0,7.0
51,Zmeinogorsk,64,RU,1552787978,89,51.15,82.2,18.54,5.37
52,Bethel,90,US,1552787640,85,60.79,-161.76,26.6,17.22
53,Ribeira Grande,80,PT,1552787953,94,38.52,-28.7,62.06,6.38
54,Tasiilaq,88,GL,1552783800,78,65.61,-37.64,15.8,2.24
55,Hakodate,20,JP,1552784400,52,41.8,140.75,41.0,12.75
56,Saskylakh,48,RU,1552787879,71,71.97,114.09,-5.94,5.7
57,Punta Arenas,90,CL,1552787586,100,-53.16,-70.91,50.0,3.36
58,Murdochville,68,CA,1552788054,70,48.96,-65.49,25.34,21.81
59,Sainte-Marie,90,CA,1552788033,53,46.45,-71.03,26.01,13.87
60,Chokurdakh,64,RU,1552788057,92,70.62,147.9,-7.52,4.92
61,Arraial do Cabo,92,BR,1552788059,100,-22.97,-42.02,77.76,3.91
62,Tiarei,75,PF,1552787582,83,-17.53,-149.33,82.4,9.17
63,Hobart,20,AU,1552787244,49,-42.88,147.33,72.0,6.93
64,Bambous Virieux,75,MU,1552784400,83,-20.34,57.76,77.0,6.93
65,Leningradskiy,64,RU,1552788065,88,69.38,178.42,-6.57,21.59
66,Kruisfontein,8,ZA,1552788066,84,-34.0,24.73,62.51,3.13
67,Tual,64,ID,1552788068,98,-5.67,132.75,84.29,11.18
68,Caravelas,0,BR,1552787909,100,-17.73,-39.27,83.16,14.65
69,Carnduff,0,CA,1552787811,80,49.17,-101.8,23.99,10.4
70,Porto Nacional,36,BR,1552788071,91,-10.7,-48.41,77.04,2.46
71,Nador,0,MA,1552786200,71,35.17,-2.93,55.4,3.36
72,Beringovskiy,32,RU,1552788074,95,63.05,179.32,4.23,15.99
73,Lumeje,48,AO,1552788075,94,-11.56,20.78,65.34,2.91
74,Barrow,12,AR,1552787854,94,-38.31,-60.23,65.43,8.61
75,Waipawa,44,NZ,1552787957,76,-39.94,176.59,64.99,6.93
76,Gizo,40,IL,1552788073,71,31.8,34.94,57.2,13.87
77,Geraldton,90,CA,1552784400,72,49.72,-86.95,17.6,6.93
78,Flinders,90,AU,1552788016,100,-34.58,150.85,68.0,14.99
79,Sorong,8,ID,1552788083,98,-0.86,131.25,82.49,7.72
80,Klaksvik,88,FO,1552787400,100,62.23,-6.59,37.4,4.7
81,Pevek,8,RU,1552788086,83,69.7,170.27,-13.82,16.33
82,Aklavik,75,CA,1552784400,53,68.22,-135.01,24.8,8.05
83,Seoul,40,KR,1552787400,52,37.57,126.98,46.4,4.7
84,Alice Springs,24,AU,1552784400,10,-23.7,133.88,87.8,9.17
85,Tura,24,IN,1552788091,60,25.52,90.21,73.17,2.8
86,Kapaa,75,US,1552788067,65,22.08,-159.32,78.8,12.75
87,Katsuura,75,JP,1552787471,76,33.93,134.5,53.6,10.29
88,Cidreira,92,BR,1552788095,81,-30.17,-50.22,73.44,13.31
89,Atar,0,MR,1552788096,31,20.52,-13.05,59.67,7.72
90,College,1,US,1552788009,45,64.86,-147.8,46.4,9.17
91,Nizwa,0,OM,1552787998,77,22.93,57.53,50.99,2.91
92,Khatanga,44,RU,1552787827,82,71.98,102.47,-8.78,3.47
93,Thompson,75,CA,1552784400,49,55.74,-97.86,23.0,3.36
94,Pochutla,20,MX,1552787205,65,15.74,-96.47,82.4,9.73
95,Bredasdorp,44,ZA,1552788068,88,-34.53,20.04,69.8,4.7
96,Saint George,20,GR,1552787605,75,39.45,22.34,53.01,4.03
97,Talaya,75,RU,1552788014,85,55.79,84.89,19.99,8.95
98,Kurumkan,64,RU,1552788113,84,54.33,110.32,31.73,2.35
99,Constitucion,75,MX,1552788016,12,23.99,-104.67,68.0,18.34
100,Tyrma,64,RU,1552788117,59,50.04,132.17,34.43,6.38
101,Oktyabrskoye,75,RU,1552788014,85,56.73,85.44,19.99,8.95
102,Sorland,32,NO,1552788119,100,67.67,12.69,36.14,5.93
103,Puerto Ayora,8,EC,1552788098,90,-0.74,-90.35,75.99,3.0
104,Padang,20,ID,1552784400,83,-0.92,100.36,80.6,2.24
105,Porto Novo,40,BR,1552788000,100,-23.68,-45.44,71.6,1.12
106,Codrington,75,AU,1552787936,73,-28.95,153.24,77.0,3.47
107,Airai,92,TL,1552787948,94,-8.93,125.41,71.69,1.57
108,Sellye,0,HR,1552788199,69,45.87,17.85,44.91,7.16
109,Saint Anthony,1,US,1552788117,47,43.97,-111.68,39.2,6.93
110,Georgetown,0,GY,1552784400,94,6.8,-58.16,77.0,6.93
111,Amapa,20,HN,1552788111,78,15.09,-87.97,78.8,5.82
112,Koslan,56,RU,1552788205,91,63.46,48.9,22.05,4.92
113,Umm Lajj,0,SA,1552788207,100,25.02,37.27,57.56,11.74
114,Buenaventura,44,CO,1552788208,94,3.89,-77.07,70.38,1.9
115,Bobcaygeon,90,CA,1552788127,79,44.54,-78.55,28.99,11.41
116,Tashla,75,RU,1552786200,79,53.71,49.75,28.4,11.18
117,New Norfolk,20,AU,1552788038,56,-42.78,147.06,72.0,10.29
118,Cherskiy,8,RU,1552788214,41,68.75,161.3,-13.55,2.91
119,Victoria,75,BN,1552786200,74,5.28,115.24,84.2,8.05
120,Vestmannaeyjar,92,IS,1552788217,100,63.44,-20.27,37.8,13.76
121,Saint-Augustin,75,FR,1552788189,87,44.83,-0.61,53.6,6.93
122,Kavieng,12,PG,1552788219,98,-2.57,150.8,85.64,8.5
123,Bereda,20,ES,1552788206,76,43.27,-7.54,53.01,13.87
124,Saint-Philippe,90,CA,1552788215,50,45.36,-73.48,30.2,13.87
125,Vila Velha,75,BR,1552788000,94,-3.71,-38.6,75.2,4.7
126,Cabo San Lucas,90,MX,1552787731,72,22.89,-109.91,69.01,8.05
127,Vaini,0,IN,1552784400,77,15.34,74.49,64.4,4.36
128,Santa Marta,40,CO,1552787688,54,11.24,-74.21,84.2,20.8
129,Yellowknife,20,CA,1552788044,67,62.45,-114.38,25.0,11.41
130,Kodiak,1,US,1552788217,30,39.95,-94.76,46.0,10.29
131,Norman Wells,40,CA,1552784400,35,65.28,-126.83,42.8,14.99
132,Gumdag,20,TM,1552788244,80,39.2,54.59,47.52,4.92
133,Balakhninskiy,12,RU,1552788246,55,58.01,114.28,18.36,6.71
134,Hwange,48,ZW,1552788247,75,-18.35,26.5,69.71,9.51
135,Wilkie,1,CA,1552788244,59,52.41,-108.71,32.0,9.17
136,Hofn,0,IS,1552788249,100,64.25,-15.21,35.73,8.05
137,Nizhniy Kuranakh,36,RU,1552788251,75,58.84,125.49,22.73,3.58
138,Tulsipur,76,IN,1552788252,50,27.53,82.41,70.16,3.58
139,Moose Factory,90,CA,1552786500,66,51.26,-80.61,12.2,12.75
140,Loandjili,40,CG,1552784400,100,-4.77,11.87,73.4,6.93
141,Dikson,76,RU,1552788256,93,73.51,80.55,8.78,25.28
142,Jinchang,68,CN,1552788257,84,38.52,102.19,34.16,3.69
143,Erenhot,0,CN,1552788259,26,43.65,111.97,49.68,14.54
144,Kavaratti,0,IN,1552788165,100,10.57,72.64,82.58,5.14
145,Fortuna,0,ES,1552788202,61,38.18,-1.13,55.99,5.82
146,Narsaq,92,GL,1552783800,47,60.91,-46.05,35.6,18.34
147,Antalaha,12,MG,1552788264,93,-14.9,50.28,73.04,5.59
148,Diffa,92,NE,1552788265,17,13.32,12.61,76.41,12.97
149,Canmore,20,CA,1552787944,59,51.09,-115.35,35.6,5.82
150,Tanout,0,NE,1552788268,23,14.97,8.88,69.93,11.74
151,Yaan,12,NG,1552788269,90,7.38,8.57,76.23,10.29
152,Severo-Kurilsk,36,RU,1552788271,100,50.68,156.12,28.62,2.35
153,Pundaguitan,8,PH,1552788272,93,6.37,126.17,82.53,4.14
154,Nikolskoye,90,RU,1552788035,80,59.7,30.79,34.0,6.71
155,Camacha,75,PT,1552786200,72,33.08,-16.33,60.8,9.17
156,Hasanpur,64,IN,1552788276,68,28.72,78.28,65.39,4.59
157,Yulara,0,AU,1552784400,20,-25.24,130.99,91.4,6.93
158,Cordoba,12,CO,1552788278,72,5.59,-73.79,53.06,1.68
159,Ukiah,1,US,1552788023,18,39.15,-123.21,71.6,3.36
160,Mecca,8,SA,1552788281,53,21.43,39.83,55.44,7.38
161,Lavrentiya,24,RU,1552788282,97,65.58,-170.99,17.06,22.82
162,Carnarvon,0,ZA,1552788284,89,-30.97,22.13,55.94,3.02
163,Novikovo,80,UA,1552788285,100,45.05,34.56,38.66,14.76
164,Hailun,0,CN,1552788286,78,47.46,126.97,37.04,11.63
165,Terrak,56,NO,1552788002,78,65.09,12.37,34.0,16.11
166,Sakaraha,0,MG,1552788289,89,-22.91,44.53,60.98,2.57
167,Trelew,48,AR,1552788202,95,-43.25,-65.31,63.09,13.76
168,Coihaique,0,CL,1552784400,51,-45.58,-72.07,60.8,16.11
169,Ponta do Sol,64,BR,1552788298,92,-20.63,-46.0,68.13,3.69
170,Mount Gambier,0,AU,1552784400,73,-37.83,140.78,69.8,6.93
171,Cortes,92,PH,1552788300,100,9.28,126.19,73.49,4.03
172,Arlit,0,NE,1552788302,60,18.74,7.39,62.69,8.16
173,Guerrero Negro,12,MX,1552788303,66,27.97,-114.04,57.87,7.38
174,Sobolevo,88,RU,1552788305,94,54.43,31.9,33.48,3.8
175,Lata,92,IN,1552788306,69,30.78,78.62,44.78,1.79
176,Arona,0,IT,1552788307,87,45.76,8.56,53.01,2.24
177,Scarborough,0,GB,1552788306,80,54.28,-0.41,39.99,9.17
178,Poum,0,MK,1552788310,77,41.28,20.71,23.31,1.79
179,Batemans Bay,80,AU,1552788302,55,-35.71,150.18,73.0,8.99
180,Montoro,0,ES,1552788205,76,38.02,-4.38,52.0,6.93
181,East London,8,ZA,1552788314,97,-33.02,27.91,76.32,19.91
182,Turukhansk,0,RU,1552788315,46,65.8,87.96,3.11,10.74
183,Gubkinskiy,0,RU,1552788316,71,64.43,76.5,-1.98,8.61
184,Kaitangata,12,NZ,1552788245,79,-46.28,169.85,61.0,8.99
185,Kollo,68,NE,1552788319,45,13.34,2.32,78.12,4.36
186,Upata,0,VE,1552788048,70,8.02,-62.41,79.0,4.0
187,Chopda,0,IN,1552788321,67,21.25,75.3,71.1,9.62
188,Shelburne,75,CA,1552788316,85,44.08,-80.2,28.0,6.93
189,Sao Jose da Coroa Grande,80,BR,1552788324,95,-8.9,-35.15,76.77,4.14
190,Kaili,8,ID,1552788326,59,-3.46,120.21,84.56,2.13
191,San Cristobal,75,EC,1552788016,82,-0.39,-78.55,62.6,4.7
192,Harper,90,US,1552788026,32,30.3,-99.24,55.4,5.82
193,Baillif,0,GP,1552786200,83,16.02,-61.75,73.4,3.36
194,Sarkand,12,KZ,1552788331,94,45.41,79.91,31.68,3.36
195,Nanortalik,92,GL,1552788332,100,60.14,-45.24,25.47,20.47
196,Miraflores,68,CO,1552788334,98,5.2,-73.14,51.66,1.12
197,Boa Vista,0,BR,1552788000,51,2.82,-60.67,86.0,14.99
198,Aykhal,76,RU,1552788338,77,65.95,111.51,5.85,7.94
199,Kota Belud,75,MY,1552786200,74,6.35,116.43,84.2,4.7
200,Talnakh,36,RU,1552788345,73,69.49,88.39,-6.62,2.91
201,Tuktoyaktuk,40,CA,1552784400,84,69.44,-133.03,5.0,16.11
202,Nicolas Bravo,75,MX,1552788016,12,24.39,-104.74,68.0,18.34
203,Emerald,90,AU,1552788180,69,-23.53,148.16,82.99,8.05
204,Kahului,20,US,1552788169,57,20.89,-156.47,80.6,4.7
205,Manzanillo,76,CU,1552788352,100,20.34,-77.12,75.83,11.18
206,Noumea,56,NC,1552786200,74,-22.28,166.46,86.0,4.7
207,Baykit,0,RU,1552788359,75,61.68,96.39,10.53,4.7
208,Macamic,90,CA,1552784400,78,48.75,-79.0,12.2,8.05
209,Souillac,90,FR,1552788332,76,45.6,-0.6,51.8,12.75
210,Gao,0,ML,1552788368,37,16.28,-0.04,67.95,2.8
211,Bandarbeyla,92,SO,1552788369,100,9.49,50.81,77.49,6.38
212,Port Macquarie,40,AU,1552788245,69,-31.43,152.91,80.01,4.7
213,Sai Buri,0,TH,1552784400,78,6.7,101.62,78.8,4.7
214,Yantal,88,RU,1552788373,85,56.85,105.25,31.64,3.02
215,Colac,56,AU,1552788130,40,-38.34,143.59,80.01,1.01
216,Satara,0,IN,1552788375,57,17.69,74.0,74.03,5.26
217,Ambatofinandrahana,80,MG,1552788376,100,-20.55,46.8,59.67,2.57
218,Avarua,92,CK,1552786200,100,-21.21,-159.78,75.2,26.4
219,Suleja,8,NG,1552788379,76,9.18,7.18,69.84,1.12
220,Grindavik,75,IS,1552788096,100,63.84,-22.43,36.0,4.7
221,Bangui,0,CF,1552784400,88,4.39,18.55,78.8,5.82
222,Lompoc,1,US,1552788324,51,34.64,-120.46,69.8,6.93
223,Hilo,90,US,1552788337,64,19.71,-155.08,78.01,5.82
224,Taltal,0,CL,1552788385,94,-25.41,-70.49,57.06,2.01
225,Samarai,80,PG,1552788387,100,-10.62,150.67,81.36,9.84
226,Srednekolymsk,64,RU,1552788388,61,67.46,153.71,-7.65,3.36
227,Burnie,44,AU,1552788363,54,-41.05,145.91,75.0,8.99
228,Cleethorpes,0,GB,1552788365,80,53.56,-0.03,41.0,18.34
229,Vangaindrano,68,MG,1552788392,96,-23.35,47.6,70.29,2.68
230,Tilichiki,0,RU,1552788393,81,60.47,166.1,5.63,4.14
231,Broken Hill,0,AU,1552784400,30,-31.97,141.45,80.6,10.29
232,Auki,0,NG,1552788463,26,12.18,6.51,73.62,10.18
233,Roatan,20,HN,1552788000,78,16.32,-86.54,80.6,6.93
234,Maragogi,80,BR,1552788465,95,-9.01,-35.22,76.77,4.14
235,Petukhovo,0,RU,1552788467,79,55.06,67.89,12.33,8.16
236,Kalawit,8,PH,1552788468,56,7.91,122.53,88.83,7.72
237,Am Timan,0,TD,1552788469,30,11.04,20.28,67.41,8.28
238,Meulaboh,0,ID,1552788471,100,4.14,96.13,82.35,3.58
239,San Patricio,88,PY,1552788472,95,-26.98,-56.83,70.74,4.81
240,Lagoa,0,PT,1552788428,58,37.14,-8.45,55.99,1.12
241,Enid,0,US,1552788284,70,36.4,-97.88,52.0,8.05
242,La Ronge,40,CA,1552784400,51,55.1,-105.3,37.4,10.29
243,Wabana,90,CA,1552788087,100,47.63,-52.95,45.0,25.28
244,Bridgton,90,US,1552788470,43,44.05,-70.71,35.01,8.05
245,Manokwari,20,ID,1552788389,92,-0.87,134.08,83.48,3.58
246,Nishihara,20,JP,1552788449,52,35.74,139.53,62.01,3.36
247,Garwolin,75,PL,1552788483,93,51.9,21.61,44.01,5.82
248,Moron,88,VE,1552788484,94,10.49,-68.2,69.75,3.36
249,Salalah,40,OM,1552783800,73,17.01,54.1,77.0,2.24
250,Pitimbu,0,BR,1552784400,83,-7.47,-34.81,80.6,5.82
251,Elliot Lake,40,CA,1552785120,78,46.37,-82.65,17.6,16.11
252,Muros,90,ES,1552788455,87,42.77,-9.06,54.0,10.29
253,Mporokoso,68,ZM,1552788491,94,-9.37,30.12,60.75,2.35
254,Muravlenko,0,RU,1552788492,79,63.79,74.5,4.19,8.16
255,Ahipara,68,NZ,1552788493,64,-35.17,173.16,77.18,5.93
256,Tiksi,8,RU,1552788495,49,71.64,128.87,-17.01,4.36
257,Half Moon Bay,1,US,1552788490,62,37.46,-122.43,69.8,9.17
258,Beira,20,ES,1552788455,76,43.2,-8.36,55.0,13.87
259,Cabedelo,0,BR,1552784400,83,-6.97,-34.84,80.6,5.82
260,Vaitape,68,PF,1552788499,99,-16.52,-151.75,84.24,9.28
261,Birao,12,CF,1552788501,16,10.3,22.78,71.55,12.75
262,Las Margaritas,32,MX,1552788502,56,16.32,-91.98,67.77,7.38
263,Ashington,0,GB,1552788483,90,55.18,-1.57,39.0,16.11
264,Dong Hoi,32,VN,1552788505,97,17.48,106.6,76.32,9.95
265,Presidencia Roque Saenz Pena,92,AR,1552788506,96,-26.79,-60.44,70.34,10.29
266,Mildura,0,AU,1552788046,32,-34.18,142.16,87.01,6.93
267,Innisfail,75,CA,1552788016,43,52.02,-113.95,33.8,3.36
268,Kieta,0,PG,1552788335,97,-6.22,155.63,83.52,3.47
269,Fez,0,MA,1552786200,35,34.03,-5.02,55.4,12.75
270,Kalashnikovo,92,RU,1552788512,90,57.28,35.23,29.79,10.4
271,Forbes,48,AU,1552788289,58,-33.38,148.01,75.99,1.99
272,Mangrol,75,IN,1552786200,68,25.33,76.51,64.4,3.13
273,Olinda,90,EC,1552788332,100,-2.03,-79.75,79.0,4.7
274,Bosaso,0,SO,1552788518,100,11.28,49.18,76.05,6.93
275,Athabasca,0,CA,1552788519,74,54.72,-113.29,24.48,5.48
